"昨日は助かりました。ありがとうございます","safe"
"あおいう いおうあ ああああ ------------------------------------------------------------------------------------------- 株式会社ITPM 営業部 部長 垣内 秀介 kakiuchi@itpm-gk.com 〒160-0011 東京都新宿区若葉一丁目10番 大洋ビル MOBILE: 070-5462-1396","safe"
"​今日のプレゼンもOKです。明日もよろしくお願いします​","safe"
"​後輩のフォローありがとうございます。この調子で​","safe"
"​no to be late?​","safe"
"      ","danger"
"","danger"
"https://note.mu/tck/n/n80ca8271cd89 ------------------------------------------------------------------------------------------- 株式会社ITPM 営業部 部長 垣内 秀介 kakiuchi@itpm-gk.com 〒160-0011 東京都新宿区若葉一丁目10番 大洋ビル","danger"
"","danger"
"あ い う え お ------------------------------------------------------------------------------------------- 株式会社ITPM 営業部 部長 垣内 秀介 kakiuchi@itpm-gk.com 〒160-0011 東京都新宿区若葉一丁目10番 大洋ビル MOBILE: 070-5462-1396 /","danger"
