"いつもありがとうございます","safe"
"​週報の提出期限をまもってください​","safe"
"ｄｊｄｊｄｊｆｋ ------------------------------------------------------------------------------------------- 株式会社ITPM 営業部 部長 垣内 秀介 kakiuchi@itpm-gk.com 〒160-0011 東京都新宿区若葉一丁目10番 大洋ビル MOBILE: 070-5462-1396 / TEL","safe"
"報告書間違っています。修正してください​","safe"
"こちらの入金価格間違っていませんか？すぐに状況報告お願いします","safe"
"​またメールの誤字がありますが、注意して下さい​","safe"
"​何度言ったらわかるのですか？二度と無いようににしてください​","danger"
"至急返信するようにしてください","danger"
"会議資料を本日中に修正するようにしてください​","danger"
"​この案件の進捗はどうなっていますか？​","danger"
"​こちらの業務状況を至急連絡してください。​","danger"
"​なぜこのような結果になるのですか？​","danger"
